cod_articulo,nom_articulo,articulo_padre,tamano
CAGLI1151-SP-30,CarbonBrushHolder,AMOLADORA ANGULAR 4½ INGCO CAGLI1151 A BATERIA 20 VOLT LINEA P20S,Chico
CAGLI1151-SP-32,CarbonBrushCover,AMOLADORA ANGULAR 4½ INGCO CAGLI1151 A BATERIA 20 VOLT LINEA P20S,Chico
CAGLI1151-SP-35/36,PCBAssembly,AMOLADORA ANGULAR 4½ INGCO CAGLI1151 A BATERIA 20 VOLT LINEA P20S,Chico
CAGLI1151-SP-4,OutputShaft,AMOLADORA ANGULAR 4½ INGCO CAGLI1151 A BATERIA 20 VOLT LINEA P20S,Chico
CAGLI1151-SP-7,FrontCover,AMOLADORA ANGULAR 4½ INGCO CAGLI1151 A BATERIA 20 VOLT LINEA P20S,Chico
CAGLI1152-SP-23,Motor,AMOLADORA A BATERIA 20V P20S BRUSH LESS INGCO CAGLI1152,Chico
CAGLI11522-SP-11,Gear,KIT AMOLADORA 20V + 2 BAT 4AH + CARG Y BOLSO INGCO CAGLI11522,Chico
CAGLI11522-SP-12,NeedleHk0810,KIT AMOLADORA 20V + 2 BAT 4AH + CARG Y BOLSO INGCO CAGLI11522,Chico
CAGLI11522-SP-15,SpindleLockButton,KIT AMOLADORA 20V + 2 BAT 4AH + CARG Y BOLSO INGCO CAGLI11522,Chico
CAGLI11522-SP-16,Spring,KIT AMOLADORA 20V + 2 BAT 4AH + CARG Y BOLSO INGCO CAGLI11522,Chico
CAGLI11522-SP-18,SpindleLockPin,KIT AMOLADORA 20V + 2 BAT 4AH + CARG Y BOLSO INGCO CAGLI11522,Chico
CAGLI11522-SP-19,MiddleCover,KIT AMOLADORA 20V + 2 BAT 4AH + CARG Y BOLSO INGCO CAGLI11522,Chico
CAGLI11522-SP-20,NutM6,KIT AMOLADORA 20V + 2 BAT 4AH + CARG Y BOLSO INGCO CAGLI11522,Chico
CAGLI11522-SP-21,Pinion,KIT AMOLADORA 20V + 2 BAT 4AH + CARG Y BOLSO INGCO CAGLI11522,Chico
CAGLI11522-SP-23,Motor,KIT AMOLADORA 20V + 2 BAT 4AH + CARG Y BOLSO INGCO CAGLI11522,Chico
CAGLI11522-SP-26,Switch,KIT AMOLADORA 20V + 2 BAT 4AH + CARG Y BOLSO INGCO CAGLI11522,Chico
CAGLI11522-SP-27,SwitchKnob,KIT AMOLADORA 20V + 2 BAT 4AH + CARG Y BOLSO INGCO CAGLI11522,Chico
CAGLI11522-SP-28,SwitchPushBar,KIT AMOLADORA 20V + 2 BAT 4AH + CARG Y BOLSO INGCO CAGLI11522,Chico
CAGLI11522-SP-29/36,Left/RightHousing,KIT AMOLADORA 20V + 2 BAT 4AH + CARG Y BOLSO INGCO CAGLI11522,Mediano
CAGLI11522-SP-31,RightDustCover,KIT AMOLADORA 20V + 2 BAT 4AH + CARG Y BOLSO INGCO CAGLI11522,Chico
CAGLI11522-SP-32,BatteryStatus,KIT AMOLADORA 20V + 2 BAT 4AH + CARG Y BOLSO INGCO CAGLI11522,Chico
CAGLI11522-SP-34,DcInlet,KIT AMOLADORA 20V + 2 BAT 4AH + CARG Y BOLSO INGCO CAGLI11522,Chico
CAGLI11522-SP-37,LeftDustCover,KIT AMOLADORA 20V + 2 BAT 4AH + CARG Y BOLSO INGCO CAGLI11522,Chico
CAGLI11522-SP-7,GearBoxCover,KIT AMOLADORA 20V + 2 BAT 4AH + CARG Y BOLSO INGCO CAGLI11522,Chico
CAGLI2011582-SP-10,Stator,AMOLADORA 20V P20S + 2 BAT + CARGADOR + DISCOS Y BOLSO CAGLI2011582 INGCO,Chico
CAGLI2011582-SP-11,Switch,AMOLADORA 20V P20S + 2 BAT + CARGADOR + DISCOS Y BOLSO CAGLI2011582 INGCO,Chico
CAGLI2011582-SP-11/12,PCBA protection board,AMOLADORA 20V P20S + 2 BAT + CARGADOR + DISCOS Y BOLSO CAGLI2011582 INGCO,Chico
CAGLI2011582-SP-12,Board,AMOLADORA 20V P20S + 2 BAT + CARGADOR + DISCOS Y BOLSO CAGLI2011582 INGCO,Chico
CAGLI2011582-SP-4,Gear,AMOLADORA 20V P20S + 2 BAT + CARGADOR + DISCOS Y BOLSO CAGLI2011582 INGCO,Chico
CAGLI2011582-SP-8,Rotor,AMOLADORA 20V P20S + 2 BAT + CARGADOR + DISCOS Y BOLSO CAGLI2011582 INGCO,Mediano
CAGLI20157-SP-11,Stator,AMOLADORA 20V P20S AMARILLA SUPER SELECT INGCO,Chico
CAGLI20157-SP-12/13,Rotor,AMOLADORA 20V P20S AMARILLA SUPER SELECT INGCO,
CAGLI20157-SP-2/39,PCBA protection board,AMOLADORA 20V P20S AMARILLA SUPER SELECT INGCO,Chico
CAGLI20157-SP-20-25,Aluminum head shell assembly,AMOLADORA 20V P20S AMARILLA SUPER SELECT INGCO,Chico
CAGLI20157-SP-26-29/31-32,Cover as-front,AMOLADORA 20V P20S AMARILLA SUPER SELECT INGCO,Chico
CAGLI211156-SP-1,Grinding wheel pressing plate,"AMOLADORA A BATERIA 20V P20S 4 1/2"" BRUSHLESS CON INTERRUPTOR DE SEGURIDAD S/BAT - CAGLI211156 INGCO",Chico
CAGLI211156-SP-10,Bevel gear,"AMOLADORA A BATERIA 20V P20S 4 1/2"" BRUSHLESS CON INTERRUPTOR DE SEGURIDAD S/BAT - CAGLI211156 INGCO",Chico
CAGLI211156-SP-11,Self locking shaft,"AMOLADORA A BATERIA 20V P20S 4 1/2"" BRUSHLESS CON INTERRUPTOR DE SEGURIDAD S/BAT - CAGLI211156 INGCO",Chico
CAGLI211156-SP-11-16,Aluminum head shell assembly,"AMOLADORA A BATERIA 20V P20S 4 1/2"" BRUSHLESS CON INTERRUPTOR DE SEGURIDAD S/BAT - CAGLI211156 INGCO",Chico
CAGLI211156-SP-2,Grinding wheel seat,"AMOLADORA A BATERIA 20V P20S 4 1/2"" BRUSHLESS CON INTERRUPTOR DE SEGURIDAD S/BAT - CAGLI211156 INGCO",Chico
CAGLI211156-SP-20,Gear,"AMOLADORA A BATERIA 20V P20S 4 1/2"" BRUSHLESS CON INTERRUPTOR DE SEGURIDAD S/BAT - CAGLI211156 INGCO",Chico
CAGLI211156-SP-24,Rotor,"AMOLADORA A BATERIA 20V P20S 4 1/2"" BRUSHLESS CON INTERRUPTOR DE SEGURIDAD S/BAT - CAGLI211156 INGCO",Chico
CAGLI211156-SP-25,Stator,"AMOLADORA A BATERIA 20V P20S 4 1/2"" BRUSHLESS CON INTERRUPTOR DE SEGURIDAD S/BAT - CAGLI211156 INGCO",Chico
CAGLI211156-SP-26,PCBA protection board,"AMOLADORA A BATERIA 20V P20S 4 1/2"" BRUSHLESS CON INTERRUPTOR DE SEGURIDAD S/BAT - CAGLI211156 INGCO",Chico
CAGLI211156-SP-32-38,Trigger assembly,"AMOLADORA A BATERIA 20V P20S 4 1/2"" BRUSHLESS CON INTERRUPTOR DE SEGURIDAD S/BAT - CAGLI211156 INGCO",Chico
CAGLI211156-SP-5,output shaft,"AMOLADORA A BATERIA 20V P20S 4 1/2"" BRUSHLESS CON INTERRUPTOR DE SEGURIDAD S/BAT - CAGLI211156 INGCO",Chico
CAGLI211156-SP-5-10,Front cover Assy,"AMOLADORA A BATERIA 20V P20S 4 1/2"" BRUSHLESS CON INTERRUPTOR DE SEGURIDAD S/BAT - CAGLI211156 INGCO",Chico
CAGLI211156-SP-7,Front cover,"AMOLADORA A BATERIA 20V P20S 4 1/2"" BRUSHLESS CON INTERRUPTOR DE SEGURIDAD S/BAT - CAGLI211156 INGCO",Chico
CAGLI2211532-SP-10-12,Rotor,"AMOLADORA A BATERIA 4 1/2"" 20V P20S C 2 X 5AH BAT CARG Y VALIJA INGCO CAGLI2211532",Chico
CAGLI2211532-SP-2/19,Left & right casing,"AMOLADORA A BATERIA 4 1/2"" 20V P20S C 2 X 5AH BAT CARG Y VALIJA INGCO CAGLI2211532",Chico
CAGLI2211532-SP-22/23/25-28,Head housing assembly,"AMOLADORA A BATERIA 4 1/2"" 20V P20S C 2 X 5AH BAT CARG Y VALIJA INGCO CAGLI2211532",Chico
CAGLI2211532-SP-3/4/7/9,PCBA protection board,"AMOLADORA A BATERIA 4 1/2"" 20V P20S C 2 X 5AH BAT CARG Y VALIJA INGCO CAGLI2211532",Chico
CAGLI2211532-SP-30-34/36/37,Output shaft assembly,"AMOLADORA A BATERIA 4 1/2"" 20V P20S C 2 X 5AH BAT CARG Y VALIJA INGCO CAGLI2211532",Chico
CAGLI2211532-SP-31,Bevel gear,"AMOLADORA A BATERIA 4 1/2"" 20V P20S C 2 X 5AH BAT CARG Y VALIJA INGCO CAGLI2211532",Chico
CAGLI2211532-SP-37,output shaft,"AMOLADORA A BATERIA 4 1/2"" 20V P20S C 2 X 5AH BAT CARG Y VALIJA INGCO CAGLI2211532",
CAGLI27153-SP-10,Motor rotor,"AMOLADORA ANGULAR A BATERIA 20V P20S BRUSHLESS MOTOR 4½"" 115MM S/BAT, S/CARG INGCO CAGLI27153",Chico
CAGLI27153-SP-15/28-32/34/35,Front cover Assy+Bevel gear,"AMOLADORA ANGULAR A BATERIA 20V P20S BRUSHLESS MOTOR 4½"" 115MM S/BAT, S/CARG INGCO CAGLI27153",Chico
CAGLI27153-SP-15/29,gear assembly,"AMOLADORA ANGULAR A BATERIA 20V P20S BRUSHLESS MOTOR 4½"" 115MM S/BAT, S/CARG INGCO CAGLI27153",Chico
CAGLI27153-SP-20/21/23-26,Aluminum head housing assembly,"AMOLADORA ANGULAR A BATERIA 20V P20S BRUSHLESS MOTOR 4½"" 115MM S/BAT, S/CARG INGCO CAGLI27153",Chico
CAGLI27153-SP-3/4/7/9,PCBA protection board,"AMOLADORA ANGULAR A BATERIA 20V P20S BRUSHLESS MOTOR 4½"" 115MM S/BAT, S/CARG INGCO CAGLI27153",Chico
CAGLI271532-SP-10,Motor rotor,"AMOLADORA ANGULAR 115MM 4 1/2"" A BATERIA P20S 20V  BRUSHLESS + 10 DISCOS + 2 BAT 4.0AH + CARGADOR + VALIJA INGCO CAGLI271532",Chico
CAGLI271532-SP-20/21/23-26,Aluminum head housing assembly,"AMOLADORA ANGULAR 115MM 4 1/2"" A BATERIA P20S 20V  BRUSHLESS + 10 DISCOS + 2 BAT 4.0AH + CARGADOR + VALIJA INGCO CAGLI271532",Chico
CAGLI271532-SP-27,auxiliary handle,"AMOLADORA ANGULAR 115MM 4 1/2"" A BATERIA P20S 20V  BRUSHLESS + 10 DISCOS + 2 BAT 4.0AH + CARGADOR + VALIJA INGCO CAGLI271532",Chico
CAGLI271532-SP-28-32/34/35,front retainer assembly,"AMOLADORA ANGULAR 115MM 4 1/2"" A BATERIA P20S 20V  BRUSHLESS + 10 DISCOS + 2 BAT 4.0AH + CARGADOR + VALIJA INGCO CAGLI271532",
CAGLI271532-SP-3/4/7/9,Stator and electronic control components,"AMOLADORA ANGULAR 115MM 4 1/2"" A BATERIA P20S 20V  BRUSHLESS + 10 DISCOS + 2 BAT 4.0AH + CARGADOR + VALIJA INGCO CAGLI271532",Chico
CAGLI271532-SP-36,Guard Assy,"AMOLADORA ANGULAR 115MM 4 1/2"" A BATERIA P20S 20V  BRUSHLESS + 10 DISCOS + 2 BAT 4.0AH + CARGADOR + VALIJA INGCO CAGLI271532",Chico
CAGLI271532-SP-37,Grinding wheel seat,"AMOLADORA ANGULAR 115MM 4 1/2"" A BATERIA P20S 20V  BRUSHLESS + 10 DISCOS + 2 BAT 4.0AH + CARGADOR + VALIJA INGCO CAGLI271532",Chico
CAGLI271532-SP-38,Grinding wheel pressing plate,"AMOLADORA ANGULAR 115MM 4 1/2"" A BATERIA P20S 20V  BRUSHLESS + 10 DISCOS + 2 BAT 4.0AH + CARGADOR + VALIJA INGCO CAGLI271532",Chico
CAGLI271532-SP-39,Wheel wrench,"AMOLADORA ANGULAR 115MM 4 1/2"" A BATERIA P20S 20V  BRUSHLESS + 10 DISCOS + 2 BAT 4.0AH + CARGADOR + VALIJA INGCO CAGLI271532",Chico
CAGLI271532-SP-6,Switch lever,"AMOLADORA ANGULAR 115MM 4 1/2"" A BATERIA P20S 20V  BRUSHLESS + 10 DISCOS + 2 BAT 4.0AH + CARGADOR + VALIJA INGCO CAGLI271532",Chico
CAGLI271532-SP-8,Switch push button,"AMOLADORA ANGULAR 115MM 4 1/2"" A BATERIA P20S 20V  BRUSHLESS + 10 DISCOS + 2 BAT 4.0AH + CARGADOR + VALIJA INGCO CAGLI271532",Chico
CAGLI4128112-SP-12,Motor rotor,AMOLADORA ANGULAR A BATERIA BRUSHLESS 42V 115MM C/ACCESORIOS + 2 BAT 2.5AH + CARGADOR + VALIJA INGCO CAGLI4128112,Chico
CAGLI4128112-SP-17,pinion,AMOLADORA ANGULAR A BATERIA BRUSHLESS 42V 115MM C/ACCESORIOS + 2 BAT 2.5AH + CARGADOR + VALIJA INGCO CAGLI4128112,Chico
CAGLI4128112-SP-25,Skull,AMOLADORA ANGULAR A BATERIA BRUSHLESS 42V 115MM C/ACCESORIOS + 2 BAT 2.5AH + CARGADOR + VALIJA INGCO CAGLI4128112,Chico
CAGLI4128112-SP-3/4/7/9,PCBA protection board,AMOLADORA ANGULAR A BATERIA BRUSHLESS 42V 115MM C/ACCESORIOS + 2 BAT 2.5AH + CARGADOR + VALIJA INGCO CAGLI4128112,Chico
CAGLI4128112-SP-31,Bevel gear,AMOLADORA ANGULAR A BATERIA BRUSHLESS 42V 115MM C/ACCESORIOS + 2 BAT 2.5AH + CARGADOR + VALIJA INGCO CAGLI4128112,Chico
CAGLI4128112-SP-37,output shaft,AMOLADORA ANGULAR A BATERIA BRUSHLESS 42V 115MM C/ACCESORIOS + 2 BAT 2.5AH + CARGADOR + VALIJA INGCO CAGLI4128112,Chico
CAGLI4128112-SP-39,Grinding wheel seat,AMOLADORA ANGULAR A BATERIA BRUSHLESS 42V 115MM C/ACCESORIOS + 2 BAT 2.5AH + CARGADOR + VALIJA INGCO CAGLI4128112,Chico
CAGLI4128112-SP-40,Grinding wheel pressing plate,AMOLADORA ANGULAR A BATERIA BRUSHLESS 42V 115MM C/ACCESORIOS + 2 BAT 2.5AH + CARGADOR + VALIJA INGCO CAGLI4128112,Chico
CAGLI7601-SP-17/20,Upper housing,"MINI AMOLADORA 3"" 20V P20S MULTIFUNCION SIN BAT SIN CARGADOR INGCO CAGLI7601-",Chico
CAGLI7601-SP-18,Shaft lock spring,"MINI AMOLADORA 3"" 20V P20S MULTIFUNCION SIN BAT SIN CARGADOR INGCO CAGLI7601-",Chico
CAGLI7601-SP-19,Shaft lock button,"MINI AMOLADORA 3"" 20V P20S MULTIFUNCION SIN BAT SIN CARGADOR INGCO CAGLI7601-",Chico
CAGLI7601-SP-2,Screw,"MINI AMOLADORA 3"" 20V P20S MULTIFUNCION SIN BAT SIN CARGADOR INGCO CAGLI7601-",Chico
CAGLI7601-SP-21/30,The left/right shell of the handle,"MINI AMOLADORA 3"" 20V P20S MULTIFUNCION SIN BAT SIN CARGADOR INGCO CAGLI7601-",Chico
CAGLI7601-SP-22/24,PCBA,"MINI AMOLADORA 3"" 20V P20S MULTIFUNCION SIN BAT SIN CARGADOR INGCO CAGLI7601-",Chico
CAGLI7601-SP-25,Switch,"MINI AMOLADORA 3"" 20V P20S MULTIFUNCION SIN BAT SIN CARGADOR INGCO CAGLI7601-",Chico
CAGLI7601-SP-27,Switch lever,"MINI AMOLADORA 3"" 20V P20S MULTIFUNCION SIN BAT SIN CARGADOR INGCO CAGLI7601-",Chico
CAGLI7601-SP-28,Spring,"MINI AMOLADORA 3"" 20V P20S MULTIFUNCION SIN BAT SIN CARGADOR INGCO CAGLI7601-",Chico
CAGLI7601-SP-29,Switch push button,"MINI AMOLADORA 3"" 20V P20S MULTIFUNCION SIN BAT SIN CARGADOR INGCO CAGLI7601-",Chico
CAGLI7601-SP-3,Saw blade pressure plate,"MINI AMOLADORA 3"" 20V P20S MULTIFUNCION SIN BAT SIN CARGADOR INGCO CAGLI7601-",Chico
CAGLI7601-SP-6,Metal shield,"MINI AMOLADORA 3"" 20V P20S MULTIFUNCION SIN BAT SIN CARGADOR INGCO CAGLI7601-",Chico
CAGLI7601-SP-7,Output shaft,"MINI AMOLADORA 3"" 20V P20S MULTIFUNCION SIN BAT SIN CARGADOR INGCO CAGLI7601-",Chico
CAGLI7601-SP-7-15,Motor ASSY,"MINI AMOLADORA 3"" 20V P20S MULTIFUNCION SIN BAT SIN CARGADOR INGCO CAGLI7601-",Chico
CAIRLI2081-SP-13,Head shell,ATORNILLADOR ANGULAR 80NM A BATERIA 20V P20S SIN BAT SIN CARGADOR INGCO CAIRLI2081,Chico
CAIRLI2081-SP-14,Conical tooth shaft,ATORNILLADOR ANGULAR 80NM A BATERIA 20V P20S SIN BAT SIN CARGADOR INGCO CAIRLI2081,Chico
CAIRLI2081-SP-21,Drive shaft assembly,ATORNILLADOR ANGULAR 80NM A BATERIA 20V P20S SIN BAT SIN CARGADOR INGCO CAIRLI2081,Chico
CAIRLI2081-SP-22-29,Impact block assembly,ATORNILLADOR ANGULAR 80NM A BATERIA 20V P20S SIN BAT SIN CARGADOR INGCO CAIRLI2081,Chico
CAIRLI2081-SP-31,Planetary gear,ATORNILLADOR ANGULAR 80NM A BATERIA 20V P20S SIN BAT SIN CARGADOR INGCO CAIRLI2081,Chico
CAIRLI2081-SP-35,Rotor,ATORNILLADOR ANGULAR 80NM A BATERIA 20V P20S SIN BAT SIN CARGADOR INGCO CAIRLI2081,
CAIRLI2081-SP-40,Stator and electrical control component,ATORNILLADOR ANGULAR 80NM A BATERIA 20V P20S SIN BAT SIN CARGADOR INGCO CAIRLI2081,Chico
CAIRLI2081-SP-6,Output shaft assembly,ATORNILLADOR ANGULAR 80NM A BATERIA 20V P20S SIN BAT SIN CARGADOR INGCO CAIRLI2081,Chico
CAIWLI208-SP-1,Output shaft assembly,"LLAVE DE IMPACTO ANGULAR 80NM A BATERIA 20V P20S CON 2 BATERIAS 2.0AH + CARGADOR + 3 DADOS 13,17,19MM + VALIJA INGCO CAIWLI208",
CBNLI2005-SP-1-9/14/21/26,Adjusting mechanism components,CLAVADORA A BATERÍA P20S 20V 35MM S/BAT Y S/CARG C/ACCESORIOS INGCO CBNLI2005,Chico
CBNLI2005-SP-1/8/30-55/93,Motor & gearbox assembly,CLAVADORA A BATERÍA P20S 20V 35MM S/BAT Y S/CARG C/ACCESORIOS INGCO CBNLI2005,Chico
CBNLI2005-SP-3/10-13/15-25,Nail clip component-F35 aluminum nail clip,CLAVADORA A BATERÍA P20S 20V 35MM S/BAT Y S/CARG C/ACCESORIOS INGCO CBNLI2005,Chico
CBNLI2005-SP-56-68/72-79,Firing pin component,CLAVADORA A BATERÍA P20S 20V 35MM S/BAT Y S/CARG C/ACCESORIOS INGCO CBNLI2005,
CBNLI2005-SP-56-79/88,Guide Ring,CLAVADORA A BATERÍA P20S 20V 35MM S/BAT Y S/CARG C/ACCESORIOS INGCO CBNLI2005,Chico
CBNLI2008-SP-1/32-55,Motor and gearbox components,"CLAVADORA A BATERÍA 20V P20S 35MM C/BATERÍA, CARGADOR, VALIJA  Y ACCESORIOS INGCO CBNLI2008",Chico
CBNLI2008-SP-3/10-25/27-29,Nail clip component-F35 aluminum nail clip,"CLAVADORA A BATERÍA 20V P20S 35MM C/BATERÍA, CARGADOR, VALIJA  Y ACCESORIOS INGCO CBNLI2008",
CBNLI2016-SP-100,Motor pinion,CLAVADORA 20V P20S SUPER SELECT INGCO CBNLI2016,
CBNLI2016-SP-101,motor,CLAVADORA 20V P20S SUPER SELECT INGCO CBNLI2016,Chico
CBNLI2016-SP-102,PCBA assembly,CLAVADORA 20V P20S SUPER SELECT INGCO CBNLI2016,Chico
CBNLI2016-SP-12,Drive Guide,CLAVADORA 20V P20S SUPER SELECT INGCO CBNLI2016,Chico
CBNLI2016-SP-27,PCBA holder,CLAVADORA 20V P20S SUPER SELECT INGCO CBNLI2016,Chico
CBNLI2016-SP-30,Blade Support,CLAVADORA 20V P20S SUPER SELECT INGCO CBNLI2016,Chico
CBNLI2016-SP-31-33,Torsion Spring and support subassembly,CLAVADORA 20V P20S SUPER SELECT INGCO CBNLI2016,
CBNLI2016-SP-49,Output shaft,CLAVADORA 20V P20S SUPER SELECT INGCO CBNLI2016,Chico
CBNLI2016-SP-66,Spring 4.7×24,CLAVADORA 20V P20S SUPER SELECT INGCO CBNLI2016,Chico
CBNLI2016-SP-7,Drive Guide Cover A,CLAVADORA 20V P20S SUPER SELECT INGCO CBNLI2016,Chico
CBNLI2016-SP-71-73,Cylinder cap subassembly,CLAVADORA 20V P20S SUPER SELECT INGCO CBNLI2016,Chico
CBNLI2016-SP-8,Drive Guide Cover B,CLAVADORA 20V P20S SUPER SELECT INGCO CBNLI2016,Chico
CBNLI2016-SP-80,Cylinder,CLAVADORA 20V P20S SUPER SELECT INGCO CBNLI2016,Chico
CBNLI2016-SP-83-85,Blade and piston subassembly,CLAVADORA 20V P20S SUPER SELECT INGCO CBNLI2016,Chico
CBNLI2016-SP-99,GearBox ×case,CLAVADORA 20V P20S SUPER SELECT INGCO CBNLI2016,Chico
CBNLI3508-SP-25,Drive Guide A,CLAVADORA A BATERIA 15MM A 35MM INGCO CBNLI3508 SUPER SELECT,Chico
CBNLI3508-SP-26,plate,CLAVADORA A BATERIA 15MM A 35MM INGCO CBNLI3508 SUPER SELECT,Chico
CBNLI3508-SP-27,Drive Guide Cover,CLAVADORA A BATERIA 15MM A 35MM INGCO CBNLI3508 SUPER SELECT,Chico
CBNLI3508-SP-31/79,Drive Blade Assy,CLAVADORA A BATERIA 15MM A 35MM INGCO CBNLI3508 SUPER SELECT,Chico
CBNLI3508-SP-41,Frame,CLAVADORA A BATERIA 15MM A 35MM INGCO CBNLI3508 SUPER SELECT,Mediano
CBNLI3508-SP-58,gear box,CLAVADORA A BATERIA 15MM A 35MM INGCO CBNLI3508 SUPER SELECT,Chico
CBNLI3508-SP-62,Motor Pinion,CLAVADORA A BATERIA 15MM A 35MM INGCO CBNLI3508 SUPER SELECT,
CBNLI3508-SP-63,Motor,CLAVADORA A BATERIA 15MM A 35MM INGCO CBNLI3508 SUPER SELECT,Chico
CBNLI3508-SP-64,Spring for switch,CLAVADORA A BATERIA 15MM A 35MM INGCO CBNLI3508 SUPER SELECT,Chico
CBNLI3508-SP-65,Main trigger,CLAVADORA A BATERIA 15MM A 35MM INGCO CBNLI3508 SUPER SELECT,Chico
CBNLI3508-SP-66,housing support,CLAVADORA A BATERIA 15MM A 35MM INGCO CBNLI3508 SUPER SELECT,Chico
CBNLI3508-SP-72,Cylinder,CLAVADORA A BATERIA 15MM A 35MM INGCO CBNLI3508 SUPER SELECT,Chico
CBNLI3508-SP-77,X sealing ring,CLAVADORA A BATERIA 15MM A 35MM INGCO CBNLI3508 SUPER SELECT,Chico
CBNLI3508-SP-78,Guide ring,CLAVADORA A BATERIA 15MM A 35MM INGCO CBNLI3508 SUPER SELECT,Chico
CBNLI3508-SP-79,Drive blade,CLAVADORA A BATERIA 15MM A 35MM INGCO CBNLI3508 SUPER SELECT,Chico
CBNLI3508-SP-80,Bumper,CLAVADORA A BATERIA 15MM A 35MM INGCO CBNLI3508 SUPER SELECT,Chico
CBNLI3508-SP-86,PCBA Assembly,CLAVADORA A BATERIA 15MM A 35MM INGCO CBNLI3508 SUPER SELECT,Chico
CBNLI3603-SP-1-8,Adjustment Knob Assembly,CLAVADORA A BATERIA 35MM 20V P20S PARA MADERA BLANDA EN VALIJA S/ BAT CBNLI3603 INGCO,Chico
CBNLI3603-SP-10-34,Nail Clamp Assembly,CLAVADORA A BATERIA 35MM 20V P20S PARA MADERA BLANDA EN VALIJA S/ BAT CBNLI3603 INGCO,Chico
CBNLI3603-SP-39-52/96,Base Assembly,CLAVADORA A BATERIA 35MM 20V P20S PARA MADERA BLANDA EN VALIJA S/ BAT CBNLI3603 INGCO,Chico
CBNLI3603-SP-53-72,Tooth Box Assembly,CLAVADORA A BATERIA 35MM 20V P20S PARA MADERA BLANDA EN VALIJA S/ BAT CBNLI3603 INGCO,Chico
CBNLI3606-SP-1-9,Adjustment Knob Assembly,CLAVADORA A BATERIA 35MM P20S 20V + BAT + CARGADOR + ACCESORIOS + VALIJA INGCO CBNLI3606,Chico
CBNLI3606-SP-39-52/96,Base Assembly,CLAVADORA A BATERIA 35MM P20S 20V + BAT + CARGADOR + ACCESORIOS + VALIJA INGCO CBNLI3606,Chico
CBNLI3606-SP-53-72,Tooth Box Assembly,CLAVADORA A BATERIA 35MM P20S 20V + BAT + CARGADOR + ACCESORIOS + VALIJA INGCO CBNLI3606,Chico
CBNLI3606-SP-81,Cylinder,CLAVADORA A BATERIA 35MM P20S 20V + BAT + CARGADOR + ACCESORIOS + VALIJA INGCO CBNLI3606,
CBNLI3606-SP-81-88,Cylinder assembly,CLAVADORA A BATERIA 35MM P20S 20V + BAT + CARGADOR + ACCESORIOS + VALIJA INGCO CBNLI3606,Chico
CBNLI3606-SP-86,X sealing ring,CLAVADORA A BATERIA 35MM P20S 20V + BAT + CARGADOR + ACCESORIOS + VALIJA INGCO CBNLI3606,Chico
CBNLI3606-SP-88,Drive Blade,CLAVADORA A BATERIA 35MM P20S 20V + BAT + CARGADOR + ACCESORIOS + VALIJA INGCO CBNLI3606,Chico
CBNLI3606-SP-95,PCBA Assembly,CLAVADORA A BATERIA 35MM P20S 20V + BAT + CARGADOR + ACCESORIOS + VALIJA INGCO CBNLI3606,Chico
CBNLI5005-SP-1-5/8-22/104,Guide cover and nail clip assembly,CLAVADORA A BATERIA 50MM 20V P20S BRUSHLESS PARA MADERA EN VALIJA S/BAT CBNLI5005 INGCO,Chico
CBNLI5005-SP-29-32/34-43,Base component,CLAVADORA A BATERIA 50MM 20V P20S BRUSHLESS PARA MADERA EN VALIJA S/BAT CBNLI5005 INGCO,Chico
CBNLI5005-SP-50-56,Adjusting mechanism components,CLAVADORA A BATERIA 50MM 20V P20S BRUSHLESS PARA MADERA EN VALIJA S/BAT CBNLI5005 INGCO,Chico
CBNLI5005-SP-81-99,Motor and gearbox components,CLAVADORA A BATERIA 50MM 20V P20S BRUSHLESS PARA MADERA EN VALIJA S/BAT CBNLI5005 INGCO,Chico
CBNLI5008-SP-1-5,Guide nail cover component,CLAVADORA A BATERIA 50MM 20V P20S BRUSHLESS PARA MADERA EN VALIJA C/ BAT CBNLI5008 INGCO,Chico
CBNLI5008-SP-103,Pcba Assembly,CLAVADORA A BATERIA 50MM 20V P20S BRUSHLESS PARA MADERA EN VALIJA C/ BAT CBNLI5008 INGCO,Chico
CBNLI5008-SP-29-43,Base Component,CLAVADORA A BATERIA 50MM 20V P20S BRUSHLESS PARA MADERA EN VALIJA C/ BAT CBNLI5008 INGCO,Chico
CBNLI5008-SP-30-43,Base component,CLAVADORA A BATERIA 50MM 20V P20S BRUSHLESS PARA MADERA EN VALIJA C/ BAT CBNLI5008 INGCO,Chico
CBNLI5008-SP-7,No-Mar Pad,CLAVADORA A BATERIA 50MM 20V P20S BRUSHLESS PARA MADERA EN VALIJA C/ BAT CBNLI5008 INGCO,Chico
CBNLI5008-SP-79,Blade And Piston Subassembly,CLAVADORA A BATERIA 50MM 20V P20S BRUSHLESS PARA MADERA EN VALIJA C/ BAT CBNLI5008 INGCO,
CBNLI5008-SP-8-22,Nail clip component,CLAVADORA A BATERIA 50MM 20V P20S BRUSHLESS PARA MADERA EN VALIJA C/ BAT CBNLI5008 INGCO,Chico
CBNLI5008-SP-8/81-99,Motor and gearbox components,CLAVADORA A BATERIA 50MM 20V P20S BRUSHLESS PARA MADERA EN VALIJA C/ BAT CBNLI5008 INGCO,Chico
